,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
19988,58767.0,FLAGSTOP NB MT GARDNER RD AT KILLARNE,North Shore,Bowen Island,0,0,0,-123.35649599999999,49.389047999999995
19989,60237.0,FLAGSTOP AT ARTISAN SQUARE,North Shore,Bowen Island,0,0,0,-123.345848,49.380323
19990,60290.0,SB MT GARDNER AT MAGEE RD,North Shore,Bowen Island,0,0,10,-123.354759,49.387519
19991,61082.0,FLAGSTOP SB MT GARDNER RD AT KILLARNE,North Shore,Bowen Island,0,7,0,-123.35713999999999,49.388766
19992,61083.0,FLAGSTOP SB ENDSWELL FARM,North Shore,Bowen Island,0,0,0,-123.365576,49.401676
19993,61157.0,FLAGSTOP NB MT GARDNER RD,North Shore,Bowen Island,0,0,0,-123.36285900000001,49.395748
19994,61158.0,FLAGSTOP SB MT GARDNER RD,North Shore,Bowen Island,0,0,0,-123.363022,49.395711
19995,53974.0,EB LYNN VALLEY RD AT E 27 ST,North Shore,North Vancouver - District,0,0,0,-123.043347,49.334202000000005
19996,53975.0,EB LYNN VALLEY RD AT E 29 ST,North Shore,North Vancouver - District,0,0,0,-123.040995,49.335452000000004
19997,54003.0,SB MOUNTAIN HWY AT LYNN VALLEY RD,North Shore,North Vancouver - District,0,0,6,-123.03818899999999,49.336386
19998,54004.0,SB MOUNTAIN HWY AT E 27 ST,North Shore,North Vancouver - District,0,0,0,-123.03796899999999,49.333878999999996
19999,54142.0,NB LONSDALE AVE AT E 2 ST,North Shore,North Vancouver - City,0,5,0,-123.077418,49.312944
20000,54143.0,NB LONSDALE AVE AT E 4 ST,North Shore,North Vancouver - City,0,0,0,-123.075822,49.314476
20001,54144.0,NB LONSDALE AVE AT E KEITH RD,North Shore,North Vancouver - City,0,0,8,-123.07331699999999,49.316943
20002,54145.0,NB LONSDALE AVE AT E 8 ST,North Shore,North Vancouver - City,0,0,0,-123.072585,49.317657000000004
20003,54146.0,NB LONSDALE AVE AT E 13 ST,North Shore,North Vancouver - City,0,0,0,-123.07224,49.320352
20004,54155.0,SB LONSDALE AVE AT W 13 ST,North Shore,North Vancouver - City,0,0,0,-123.072529,49.319603
20005,54158.0,SB LONSDALE AVE AT W 5 ST,North Shore,North Vancouver - City,0,0,22,-123.075818,49.314820000000005
